# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30017780	tr|A0A2R2MLZ3|A0A2R2MLZ3_LINUN	*-*	transient receptor potential cation channel subfamily M member 3		GO:0016020, GO:0016021
SMED30029759	tr|A0A1S3J2S0|A0A1S3J2S0_LINUN	***	peroxiredoxin-4		GO:0005623, GO:0016209, GO:0016491, GO:0045454, GO:0051920, GO:0055114, GO:0098869
SMED30003149	tr|A0A2S2Q4D6|A0A2S2Q4D6_9HEMI	*-*	DUF659 domain-containing protein		GO:0000122, GO:0001227, GO:0003690, GO:0005634, GO:0006357
SMED30029757	tr|A0A4S2LUK7|A0A4S2LUK7_OPIFE	*-*	STAS domain-containing protein		GO:0008271, GO:0008272, GO:0015116, GO:0016020, GO:0016021, GO:0055085, GO:1902358
SMED30003148			Unknown protein		
SMED30029758			Unknown protein		
SMED30015136	sp|Q5PQ09|DESI2_XENLA	*-*	Deubiquitinase DESI2		GO:0005737, GO:0006508, GO:0008233, GO:0016787, GO:0036459
SMED30017799			Unknown protein		
SMED30015137			Unknown protein		
SMED30017798			Unknown protein		
SMED30015134	tr|A0A448WAE1|A0A448WAE1_9PLAT	*-*	Protein kinase domain-containing protein		GO:0004672, GO:0005524, GO:0006468
SMED30017797	tr|A0A0N4ZAA3|A0A0N4ZAA3_PARTI	*-*	DDE_Tnp_IS1595 domain-containing protein		
SMED30015135			Unknown protein		
SMED30017796			Unknown protein		
SMED30015132			Unknown protein		
SMED30017795	tr|Q5D8H9|Q5D8H9_SCHJA	*-*	SJCHGC08351 protein		
SMED30015133	tr|Q2WG66|Q2WG66_PLUXY	*-*	Heat shock protein 90		GO:0005524, GO:0006457, GO:0051082
SMED30017794	tr|G1KJH4|G1KJH4_ANOCA	***	Coiled-coil domain containing 191		
SMED30015130			Unknown protein		
SMED30017793	sp|Q10323|IMT3_SCHPO	*-*	Inositol phosphoceramide mannosyltransferase 3		
SMED30015131			Unknown protein		
SMED30017792			Unknown protein		
SMED30003150			Unknown protein		
SMED30029780	tr|I1ZI70|I1ZI70_SCHMD	*-*	Early growth response-3		GO:0003676
SMED30029781			Unknown protein		
SMED30030770			Unknown protein		
SMED30030771			Unknown protein		
SMED30030772			Unknown protein		
SMED30030773	sp|Q755N4|DBP2_ASHGO	***	ATP-dependent RNA helicase DBP2		GO:0000166, GO:0000184, GO:0003676, GO:0003723, GO:0003724, GO:0003729, GO:0004386, GO:0005524, GO:0005634, GO:0005737, GO:0006364, GO:0006369, GO:0008186, GO:0016787, GO:0030515, GO:0042254, GO:0071042, GO:1990120
SMED30030774			Unknown protein		
SMED30015138	tr|A0A5B2U296|A0A5B2U296_9FLAO	*-*	Isopentenyl-diphosphate Delta-isomerase		GO:0004452, GO:0005737, GO:0008299, GO:0016787, GO:0016853
SMED30030775	tr|A0A094ZW14|A0A094ZW14_SCHHA	***	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase		GO:0005623, GO:0005737, GO:0006516, GO:0045454
SMED30015139	tr|G1CFQ9|G1CFQ9_PHRMY	*-*	TNF receptor-associated factor 6		GO:0004842, GO:0005164, GO:0016567
SMED30030776	tr|A0A515D553|A0A515D553_SERLI	*-*	Circularly permuted type 2 ATP-grasp protein		
SMED30003158			Unknown protein		
SMED30027125	tr|A0A226EAQ3|A0A226EAQ3_FOLCA	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0008270, GO:0015074, GO:0016020, GO:0016021
SMED30029788			Unknown protein		
SMED30030766	tr|I1ZIB0|I1ZIB0_SCHMD	*-*	Y box protein-1		GO:0003676
SMED30003157			Unknown protein		
SMED30027124			Unknown protein		
SMED30029789			Unknown protein		
SMED30030767	tr|A0A1R1Y9I6|A0A1R1Y9I6_9FUNG	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30003156	tr|A0A369SE25|A0A369SE25_9METZ	***	Solute carrier family 15 member 1		GO:0006857, GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30027127	tr|A0A034V458|A0A034V458_BACDO	***	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0015074
SMED30029786	tr|A0A0X3NR99|A0A0X3NR99_SCHSO	*-*	Upstream stimulatory factor 1		GO:0046983
SMED30030768			Unknown protein		
SMED30003155	tr|A0A3P8VK96|A0A3P8VK96_CYNSE	*-*	MTSS I-BAR domain containing 2a		GO:0003779, GO:0007009, GO:0097178
SMED30027126			Unknown protein		
SMED30029787			Unknown protein		
SMED30030769			Unknown protein		
SMED30003154	tr|R7TUD4|R7TUD4_CAPTE	***	TIR domain-containing protein		GO:0007165, GO:0016020, GO:0016021
SMED30027121			Unknown protein		
SMED30029784	tr|A0A183SM23|A0A183SM23_SCHSO	*-*	Histone-lysine N-methyltransferase		GO:0003700, GO:0005634, GO:0006355, GO:0008270, GO:0042025, GO:0043565, GO:0046872
SMED30003153			Unknown protein		
SMED30027120	tr|A0A210Q9Q5|A0A210Q9Q5_MIZYE	*-*	G2/M phase-specific E3 ubiquitin-protein ligase		GO:0046872
SMED30029785			Unknown protein		
SMED30003152	tr|A0A2P2HXQ3|A0A2P2HXQ3_9CRUS	*-*	Lambda-crystallin homolog		GO:0003857, GO:0006631, GO:0016491, GO:0055114
SMED30027123	tr|Q5DGW1|Q5DGW1_SCHJA	***	Mitochondrial import inner membrane translocase subunit TIM44		GO:0005739, GO:0005743, GO:0015031, GO:0016020, GO:0030150, GO:0051087
SMED30029782	tr|A0A193PE78|A0A193PE78_DUGJA	*-*	Neuropeptide-42		GO:0007218
SMED30003151			Unknown protein		
SMED30027122			Unknown protein		
SMED30029783			Unknown protein		
SMED30017791			Unknown protein		
SMED30017790			Unknown protein		
SMED30027129			Unknown protein		
SMED30027128			Unknown protein		
SMED30003159			Unknown protein		
SMED30015147			Unknown protein		
SMED30015148			Unknown protein		
SMED30015145	tr|A0A1S3HAH3|A0A1S3HAH3_LINUN	***	Adenylate kinase isoenzyme 6 homolog		GO:0000166, GO:0004017, GO:0005524, GO:0005634, GO:0016301, GO:0016310, GO:0016740, GO:0016887, GO:0046940
SMED30015146			Unknown protein		
SMED30015143	sp|Q25414|5HTR_LYMST	***	5-hydroxytryptamine receptor		GO:0004930, GO:0005886, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30015144			Unknown protein		
SMED30015141			Unknown protein		
SMED30015142	tr|A0A2S0MW69|A0A2S0MW69_9BURK	*-*	DNA polymerase III subunit gamma/tau		GO:0000166, GO:0003677, GO:0003887, GO:0005524, GO:0006260, GO:0009360, GO:0016740, GO:0016779, GO:0071897
SMED30003161			Unknown protein		
SMED30003160			Unknown protein		
SMED30029770	tr|G7YLI1|G7YLI1_CLOSI	***	ATP-binding cassette sub-family F member 2		GO:0000166, GO:0005524, GO:0016887
SMED30030760	tr|A0A4C1WS75|A0A4C1WS75_EUMVA	*-*	PiggyBac transposable element-derived protein 4		GO:0016020, GO:0016021
SMED30030761			Unknown protein		
SMED30030762			Unknown protein		
SMED30030763	tr|A0A430QRV4|A0A430QRV4_SCHBO	***	Protein kinase C and casein kinase substrate in neurons protein		GO:0016301, GO:0016310
SMED30015149			Unknown protein		
SMED30030764	sp|Q5RD79|CQ10B_PONAB	*-*	Coenzyme Q-binding protein COQ10 homolog B, mitochondrial		GO:0005739, GO:0005743, GO:0016020
SMED30030765	tr|A0A1S3K8P5|A0A1S3K8P5_LINUN	***	translation initiation factor eIF-2B subunit epsilon-like		GO:0003743, GO:0006413, GO:0009058, GO:0016779
SMED30003169	sp|P22739|KCNA2_XENLA	***	Potassium voltage-gated channel subfamily A member 2		GO:0005216, GO:0005244, GO:0005249, GO:0005251, GO:0005267, GO:0005886, GO:0005887, GO:0006811, GO:0006813, GO:0008076, GO:0016020, GO:0016021, GO:0019228, GO:0034765, GO:0044224, GO:0051260, GO:0055085, GO:0071805
SMED30027114	tr|K1Q5S6|K1Q5S6_CRAGI	***	Protocadherin Fat 4		GO:0005509, GO:0007156, GO:0016020, GO:0016021
SMED30029777			Unknown protein		
SMED30030755	tr|A0A564YK52|A0A564YK52_HYMDI	***	G-patch domain-containing protein		GO:0003676, GO:0003723, GO:0006396
SMED30003168			Unknown protein		
SMED30027113			Unknown protein		
SMED30029778			Unknown protein		
SMED30030756	tr|A0A267DRN2|A0A267DRN2_9PLAT	*-*	DNA_pol_B_2 domain-containing protein		GO:0000166, GO:0003677, GO:0003887, GO:0006260, GO:0071897
SMED30003167			Unknown protein		
SMED30027116			Unknown protein		
SMED30029775	tr|A0A267ERG2|A0A267ERG2_9PLAT	***	Tetraspanin		GO:0016020, GO:0016021
SMED30030757			Unknown protein		
SMED30003166	tr|A0A4E0RMS8|A0A4E0RMS8_FASHE	***	Sodium bicarbonate transporter protein 11		GO:0005452, GO:0006820, GO:0015698, GO:0016020, GO:0016021
SMED30027115			Unknown protein		
SMED30029776			Unknown protein		
SMED30030758	tr|A0A068YCH9|A0A068YCH9_ECHMU	***	Polynucleotide 5' hydroxyl kinase NOL9		GO:0000166, GO:0005524, GO:0016301, GO:0016310
SMED30003165	sp|Q6MDI5|FTSH_PARUW	*-*	ATP-dependent zinc metalloprotease FtsH		GO:0000166, GO:0004222, GO:0005524, GO:0005886, GO:0006508, GO:0008233, GO:0008237, GO:0008270, GO:0016020, GO:0016021, GO:0016787, GO:0016887, GO:0030163, GO:0046872
SMED30027110	tr|A0A553RF85|A0A553RF85_9TELE	***	TNF receptor-associated factor		GO:0004842, GO:0005164, GO:0005737, GO:0007165, GO:0008270, GO:0016567, GO:0042981, GO:0043122, GO:0046872
SMED30029773			Unknown protein		
SMED30030759			Unknown protein		
SMED30003164			Unknown protein		
SMED30029774			Unknown protein		
SMED30003163	tr|A0A1S3K298|A0A1S3K298_LINUN	***	uroporphyrinogen decarboxylase		GO:0004853, GO:0006779
SMED30027112			Unknown protein		
SMED30029771			Unknown protein		
SMED30003162	tr|G1NNY2|G1NNY2_MELGA	***	Chromatin assembly factor 1 subunit B		GO:0000790, GO:0005654, GO:0006335, GO:0031497, GO:0032991, GO:0033186
SMED30027111			Unknown protein		
SMED30029772	tr|G7YQR8|G7YQR8_CLOSI	***	ATP synthase subunit s-like protein		
SMED30015140	tr|A0A0R3UHK8|A0A0R3UHK8_9CEST	***	Ig-like domain-containing protein		GO:0016020, GO:0016021
SMED30027118			Unknown protein		
SMED30027117			Unknown protein		
SMED30029779			Unknown protein		
SMED30027119			Unknown protein		
SMED30015158	tr|A0A0J5PZS8|A0A0J5PZS8_ASPFM	***	Translation initiation factor SUI1		GO:0003743, GO:0006413
SMED30015159	sp|P16237|HMDH_SCHMA	*-*	3-hydroxy-3-methylglutaryl-coenzyme A reductase		GO:0004420, GO:0005777, GO:0005778, GO:0005783, GO:0005789, GO:0006629, GO:0006694, GO:0006695, GO:0008202, GO:0008203, GO:0008299, GO:0015936, GO:0016020, GO:0016021, GO:0016126, GO:0016491, GO:0016616, GO:0050662, GO:0055114
SMED30015156			Unknown protein		
SMED30015157			Unknown protein		
SMED30015154	tr|A0A0X3P9T3|A0A0X3P9T3_SCHSO	***	Ubiquitin carboxyl-terminal hydrolase		GO:0006508, GO:0006511, GO:0008233, GO:0008234, GO:0016579, GO:0016787, GO:0036459
SMED30015155			Unknown protein		
SMED30015152			Unknown protein		
SMED30015153			Unknown protein		
SMED30030790			Unknown protein		
SMED30003172	sp|Q5D8V5|PURA_SCHJA	***	Adenylosuccinate synthetase		GO:0000166, GO:0000287, GO:0004019, GO:0005525, GO:0005737, GO:0006164, GO:0006167, GO:0016874, GO:0044208, GO:0046872
SMED30030791			Unknown protein		
SMED30003171	tr|C1LJM3|C1LJM3_SCHJA	***	Hippocampus abundant transcript 1 protein		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30030792			Unknown protein		
SMED30003170			Unknown protein		
SMED30027141			Unknown protein		
SMED30030793	tr|A0A218Y122|A0A218Y122_PUNGR	*-*	RING-type domain-containing protein		
SMED30027140	tr|A0A5Q2F4S9|A0A5Q2F4S9_9VIRU	*-*	Replication associated protein		GO:0006259, GO:0006260, GO:0016779, GO:0016888, GO:0018142
SMED30030794			Unknown protein		
SMED30030795	tr|I1ZID1|I1ZID1_SCHMD	*-*	Vault protein inter alpha trypsin-1		
SMED30030796	tr|A0A4Y2CYX4|A0A4Y2CYX4_ARAVE	***	Calcium uptake protein 3, mitochondrial		GO:0005509, GO:0006851, GO:0016020, GO:0016021
SMED30030797	tr|A0A3Q0KLQ0|A0A3Q0KLQ0_SCHMA	*-*	Prominin (Prom) protein, putative		GO:0016020, GO:0016021
SMED30030798	tr|A0A2H8TKC5|A0A2H8TKC5_9HEMI	*-*	Guanine nucleotide-binding protein G(S) subunit alpha		GO:0000166, GO:0003924, GO:0005525, GO:0007165, GO:0007186, GO:0019001, GO:0031683
SMED30027147			Unknown protein		
SMED30030788			Unknown protein		
SMED30003179			Unknown protein		
SMED30027146	tr|A0A0V0TLT6|A0A0V0TLT6_9BILA	*-*	Ras-related protein Rab-14		GO:0003924, GO:0005525, GO:0005802, GO:0005829, GO:0006895, GO:0032456, GO:0042742, GO:0045335, GO:0055037, GO:0090382
SMED30030789	tr|A0A183AB77|A0A183AB77_9TREM	*-*	Homeobox domain-containing protein		GO:0003677, GO:0005634
SMED30003178			Unknown protein		
SMED30027149	tr|A0A226EV99|A0A226EV99_FOLCA	*-*	E3 SUMO-protein ligase RanBP2		GO:0016874, GO:0046872, GO:0046907
SMED30003177	tr|A0A067R1E4|A0A067R1E4_ZOONE	***	Bardet-Biedl syndrome 2 protein homolog		GO:0005737, GO:0005856, GO:0005929, GO:0034464, GO:0042995, GO:1905515
SMED30027148	tr|A0A1S3JAM6|A0A1S3JAM6_LINUN	***	Isocitrate dehydrogenase [NADP]		GO:0000287, GO:0004450, GO:0006099, GO:0006102, GO:0016491, GO:0016616, GO:0046872, GO:0051287, GO:0055114
SMED30003176	sp|P49154|RS2_URECA	***	40S ribosomal protein S2		GO:0003723, GO:0003735, GO:0005840, GO:0006412, GO:0015935
SMED30027143	tr|A0A068WIC8|A0A068WIC8_ECHGR	*-*	Expressed conserved protein		GO:0016020, GO:0016021
SMED30003175			Unknown protein		
SMED30027142			Unknown protein		
SMED30003174			Unknown protein		
SMED30027145	tr|A0A2S2PSY6|A0A2S2PSY6_SCHGA	*-*	Tigger transposable element-derived protein 6		GO:0003676, GO:0003677
SMED30003173			Unknown protein		
SMED30027144			Unknown protein		
SMED30015150			Unknown protein		
SMED30015151	tr|A0A0X3NHZ5|A0A0X3NHZ5_SCHSO	***	Phosphatidylinositol transfer protein alpha isoform		GO:0005548, GO:0015914
SMED30015169			Unknown protein		
SMED30015167	tr|A0A096NW78|A0A096NW78_PAPAN	*-*	FGE-sulfatase domain-containing protein		GO:0005783, GO:0016020, GO:0016021, GO:0042802
SMED30015168	tr|K4IR16|K4IR16_9BIVA	*-*	Calponin		GO:0003779, GO:0005516, GO:0031032
SMED30015165			Unknown protein		
SMED30015166			Unknown protein		
SMED30015163	tr|A0A3B5B2G4|A0A3B5B2G4_9TELE	*-*	Glutamate ionotropic receptor kainate type subunit 3		GO:0004970, GO:0005216, GO:0005886, GO:0006811, GO:0015276, GO:0016020, GO:0016021, GO:0030054, GO:0034220, GO:0035235, GO:0038023, GO:0045202, GO:0045211
SMED30015164	tr|A0A510BDW2|A0A510BDW2_9EURY	*-*	MFS transporter		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30003183	sp|P9WFC9|Y1636_MYCTU	-**	Universal stress protein Rv1636		GO:0005618, GO:0005886, GO:0046677
SMED30029791	tr|A0A1W4XF97|A0A1W4XF97_AGRPL	***	transmembrane emp24 domain-containing protein 2-like		GO:0016020, GO:0016021
SMED30030780			Unknown protein		
SMED30003182			Unknown protein		
SMED30029792	tr|I7MF06|I7MF06_TETTS	*-*	Polyubiquitin		
SMED30030781	tr|A0A087UMF9|A0A087UMF9_STEMI	*-*	Discoidin domain-containing receptor 2		GO:0004672, GO:0004713, GO:0004714, GO:0005524, GO:0005887, GO:0006468, GO:0007169, GO:0016020, GO:0016021, GO:0018108, GO:0038062, GO:0038063
SMED30003181	tr|A0A388KQM9|A0A388KQM9_CHABU	*-*	Reverse transcriptase domain-containing protein		
SMED30027130			Unknown protein		
SMED30030782			Unknown protein		
SMED30003180			Unknown protein		
SMED30029790			Unknown protein		
SMED30030783			Unknown protein		
SMED30030784	tr|A0A2H4WR00|A0A2H4WR00_NEOAL	*-*	Cytochrome P450 family 2 subfamily B		GO:0004497, GO:0005506, GO:0016491, GO:0016705, GO:0016712, GO:0020037, GO:0046872, GO:0055114
SMED30030785	tr|A0A224YTU2|A0A224YTU2_9ACAR	***	Arf-GAP with GTPase ANK repeat and PH domain-containing protein 1/3		GO:0003924, GO:0005096, GO:0005525, GO:0043547, GO:0046872
SMED30030786			Unknown protein		
SMED30030787	sp|Q8CH60|GNRHR_CAVPO	***	Gonadotropin-releasing hormone receptor		GO:0004930, GO:0005886, GO:0007165, GO:0007186, GO:0016020, GO:0016021, GO:0016500
SMED30027136			Unknown protein		
SMED30029799			Unknown protein		
SMED30030777			Unknown protein		
SMED30027135			Unknown protein		
SMED30030778			Unknown protein		
SMED30003189	tr|A0A504YDK1|A0A504YDK1_FASGI	*-*	E3 ubiquitin-protein ligase RBBP6		GO:0003676, GO:0006397, GO:0008270, GO:0016567, GO:0061630
SMED30027138			Unknown protein		
SMED30029797	tr|A0A504YVV2|A0A504YVV2_FASGI	*-*	Chromodomain Y protein 2		GO:0003824, GO:0005634
SMED30030779			Unknown protein		
SMED30003188			Unknown protein		
SMED30027137			Unknown protein		
SMED30029798	tr|A0A0X3NRP6|A0A0X3NRP6_SCHSO	*-*	39S ribosomal protein L22		GO:0003735, GO:0005840, GO:0006412, GO:0015934
SMED30003187			Unknown protein		
SMED30027132	tr|A0A0P5U8S7|A0A0P5U8S7_9CRUS	***	Calcineurin subunit B type		GO:0005509
SMED30029795			Unknown protein		
SMED30003186			Unknown protein		
SMED30027131			Unknown protein		
SMED30029796			Unknown protein		
SMED30003185			Unknown protein		
SMED30027134	tr|T1FMX6|T1FMX6_HELRO	***	AAA domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016021
SMED30029793			Unknown protein		
SMED30003184			Unknown protein		
SMED30027133			Unknown protein		
SMED30029794			Unknown protein		
SMED30015161	tr|A0A210QI60|A0A210QI60_MIZYE	***	Vacuolar protein sorting-associated protein 45		GO:0006904, GO:0016192
SMED30015162			Unknown protein		
SMED30015160			Unknown protein		
SMED30027139			Unknown protein		
SMED30005700			Unknown protein		
SMED30005701			Unknown protein		
SMED30005702			Unknown protein		
SMED30005703			Unknown protein		
SMED30005704	tr|A0A3N7ALF2|A0A3N7ALF2_9FLAO	***	Recombination protein RecR		GO:0003677, GO:0006281, GO:0006310, GO:0006974, GO:0046872
SMED30005705	tr|A0A193KUN2|A0A193KUN2_SCHMD	***	GCR115		GO:0016020, GO:0016021
SMED30005706			Unknown protein		
SMED30005707			Unknown protein		
SMED30005708			Unknown protein		
SMED30005709	sp|P42586|NKX22_MOUSE	*-*	Homeobox protein Nkx-2.2		
SMED30005711			Unknown protein		
SMED30005712			Unknown protein		
SMED30005713			Unknown protein		
SMED30005714			Unknown protein		
SMED30005715	tr|A0A154PT38|A0A154PT38_DUFNO	*-*	Zinc finger FYVE domain-containing protein 1		GO:0003924, GO:0005525, GO:0046872
SMED30005716	tr|A0A146L535|A0A146L535_LYGHE	***	Histone acetyltransferase p300		GO:0003712, GO:0004402, GO:0006355, GO:0008270, GO:0016573, GO:0016740, GO:0016746, GO:0042025, GO:0046872
SMED30005717	tr|A0A0N4UQZ5|A0A0N4UQZ5_DRAME	***	BAR domain-containing protein		GO:0005737
SMED30005718	tr|A0A4Z2D2G0|A0A4Z2D2G0_SCHJA	***	Guanine nucleotide-binding protein G(I) subunit alpha		GO:0000166, GO:0003924, GO:0005525, GO:0007165, GO:0007186, GO:0007188, GO:0019001, GO:0031683, GO:0046872
SMED30005710			Unknown protein		
SMED30017700			Unknown protein		
SMED30005719	tr|A0A3P7LRE9|A0A3P7LRE9_DIBLA	***	V-type proton ATPase subunit F		GO:0006811, GO:0033180, GO:0034220, GO:0046961, GO:1902600
SMED30017708			Unknown protein		
SMED30017707	tr|A0A2D0ICB7|A0A2D0ICB7_9BURK	***	Phosphoribosylformylglycinamidine synthase		GO:0000166, GO:0004642, GO:0005524, GO:0005737, GO:0006164, GO:0006189, GO:0006541, GO:0016874, GO:0046872
SMED30017706	tr|A0A444TYN2|A0A444TYN2_ACIRT	*-*	Lipopolysaccharide-induced tumor necrosis factor-alpha factor-like		GO:0016020, GO:0016021
SMED30017705	sp|Q6X862|PC11X_GORGO	***	Protocadherin-11 X-linked		GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0010923, GO:0016020, GO:0016021
SMED30017704	tr|A0A4Q1EPW6|A0A4Q1EPW6_9FLAO	***	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase		GO:0016788, GO:0046872
SMED30017703			Unknown protein		
SMED30017702			Unknown protein		
SMED30017701	tr|A0A401T1F0|A0A401T1F0_CHIPU	*-*	HTH CENPB-type domain-containing protein		GO:0003676, GO:0003677
SMED30005722	tr|A0A210PN19|A0A210PN19_MIZYE	***	Intraflagellar transport protein 27-like		GO:0000166, GO:0003924, GO:0005525, GO:0007165, GO:0016020, GO:0031514
SMED30005723	tr|B7PXT8|B7PXT8_IXOSC	*-*	Synaptotagmin, putative		GO:0016020, GO:0016021, GO:0016740, GO:0035005, GO:0046854
SMED30005724	tr|A0A2R2MRS0|A0A2R2MRS0_LINUN	*-*	inositol phosphoceramide mannosyltransferase 2-like		GO:0016740, GO:0016757
SMED30005725			Unknown protein		
SMED30005726	tr|A0A2H5SCC9|A0A2H5SCC9_RHIID	*-*	Retrotransposable element		
SMED30005727	tr|A0A084VFD8|A0A084VFD8_ANOSI	***	Voltage-gated potassium channel		GO:0005216, GO:0005244, GO:0005249, GO:0005267, GO:0006811, GO:0006813, GO:0008076, GO:0016020, GO:0016021, GO:0034765, GO:0051260, GO:0055085, GO:0071805
SMED30005728			Unknown protein		
SMED30005729	sp|Q6GL74|CFA20_XENTR	*-*	Cilia- and flagella-associated protein 20		GO:0005634, GO:0005737, GO:0005814, GO:0005856, GO:0005874, GO:0005929, GO:0018095, GO:0036064, GO:0042995, GO:0060271, GO:0060296, GO:2000147, GO:2000253
SMED30005720			Unknown protein		
SMED30005721	tr|A0A4Z2D5M2|A0A4Z2D5M2_SCHJA	*-*	Lysine-specific demethylase 6A		GO:0008168, GO:0016020, GO:0016021, GO:0032259
SMED30017711			Unknown protein		
SMED30017710	tr|A0A210QH02|A0A210QH02_MIZYE	***	26S proteasome non-ATPase regulatory subunit 7		GO:0000502, GO:0005838
SMED30017719			Unknown protein		
SMED30017718			Unknown protein		
SMED30017717	sp|Q5R6B6|RAB2A_PONAB	***	Ras-related protein Rab-2A		GO:0000139, GO:0000166, GO:0003924, GO:0005525, GO:0005783, GO:0005789, GO:0005794, GO:0007030, GO:0015031, GO:0016020, GO:0016192, GO:0019003, GO:0033116, GO:0042470
SMED30017716	tr|A0A2S2PQ82|A0A2S2PQ82_SCHGA	*-*	Tigger transposable element-derived protein 7		GO:0003676, GO:0003677
SMED30017715			Unknown protein		
SMED30017714	tr|A0A095AGT9|A0A095AGT9_SCHHA	***	Basement membrane-specific heparan sulfate proteoglycan core protein		
SMED30017713			Unknown protein		
SMED30017712			Unknown protein		
SMED30005733	tr|A0A0C2NA73|A0A0C2NA73_THEKT	*-*	DDE_3 domain-containing protein		GO:0003677
SMED30029700			Unknown protein		
SMED30005734	sp|Q25011|FANA_CORAP	-**	FMRFamide-activated amiloride-sensitive sodium channel		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0016021, GO:0035725
SMED30029701			Unknown protein		
SMED30005735			Unknown protein		
SMED30005736	tr|R7UQY3|R7UQY3_CAPTE	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30005737	tr|A0A3R7QV90|A0A3R7QV90_PENVA	***	Death-associated protein kinase 1		GO:0007165, GO:0016301, GO:0016310
SMED30005738			Unknown protein		
SMED30005739			Unknown protein		
SMED30017709			Unknown protein		
SMED30029708			Unknown protein		
SMED30029709	tr|A0A1I8HMS2|A0A1I8HMS2_9PLAT	***	Rab GDP dissociation inhibitor		GO:0005092, GO:0005093, GO:0005096, GO:0005737, GO:0007264, GO:0015031, GO:0043547, GO:0050790
SMED30029706			Unknown protein		
SMED30029707			Unknown protein		
SMED30029704			Unknown protein		
SMED30005730			Unknown protein		
SMED30029705			Unknown protein		
SMED30005731			Unknown protein		
SMED30029702	tr|W6UMF9|W6UMF9_ECHGR	***	SUMO-conjugating enzyme UBC9		GO:0000166, GO:0005524, GO:0016740
SMED30005732	tr|A0A5J4NTB7|A0A5J4NTB7_9TREM	***	Cullin 3		GO:0006511, GO:0031625
SMED30029703	tr|H2KQ53|H2KQ53_CLOSI	*-*	Defective proboscis extension response (Dpr)-related		GO:0016020, GO:0016021
SMED30017722	tr|V9I8D8|V9I8D8_APICE	***	Kinesin-like protein KIF1A		GO:0000166, GO:0003774, GO:0003777, GO:0005524, GO:0007018, GO:0008017
SMED30017721			Unknown protein		
SMED30017720	tr|A0A267GX12|A0A267GX12_9PLAT	***	PHB domain-containing protein		GO:0005886, GO:0016020, GO:0016021
SMED30017729			Unknown protein		
SMED30017728			Unknown protein		
SMED30017727	tr|R0LVR4|R0LVR4_ANAPL	***	Calpain-5		GO:0004198, GO:0006508, GO:0008233, GO:0008234, GO:0016787
SMED30017726	tr|A0A267H6L2|A0A267H6L2_9PLAT	*-*	Transket_pyr domain-containing protein		GO:0004591, GO:0006099, GO:0016624, GO:0030976, GO:0055114
SMED30017725			Unknown protein		
SMED30017724			Unknown protein		
SMED30017723			Unknown protein		
SMED30005744	tr|A0A1A8R6W5|A0A1A8R6W5_9TELE	*-*	FGFR1 oncogene partner		GO:0005509, GO:0005815, GO:0034453
SMED30005745	tr|S9W1L7|S9W1L7_9TRYP	*-*	Protein kinase		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30005746			Unknown protein		
SMED30005747			Unknown protein		
SMED30005748			Unknown protein		
SMED30005749			Unknown protein		
SMED30005740			Unknown protein		
SMED30005741	tr|A0A564Y9D0|A0A564Y9D0_HYMDI	***	Actin-related protein 2/3 complex subunit		GO:0003779, GO:0005737, GO:0005856, GO:0005885, GO:0015629, GO:0030833, GO:0034314
SMED30005742			Unknown protein		
SMED30005743			Unknown protein		
SMED30017733	sp|Q5RCV8|RNF13_PONAB	--*	E3 ubiquitin-protein ligase RNF13		GO:0000139, GO:0004842, GO:0005634, GO:0005637, GO:0005764, GO:0005765, GO:0005768, GO:0005783, GO:0005789, GO:0005794, GO:0008432, GO:0016020, GO:0016021, GO:0016740, GO:0031902, GO:0046872, GO:0051865, GO:0070304
SMED30017732	tr|A0A0R3T2A8|A0A0R3T2A8_RODNA	***	HD domain-containing protein		GO:0002953, GO:0016311
SMED30017731	sp|Q8QHI3|ARL3_XENLA	***	ADP-ribosylation factor-like protein 3		GO:0000139, GO:0000166, GO:0000281, GO:0001822, GO:0003924, GO:0005525, GO:0005634, GO:0005737, GO:0005794, GO:0005813, GO:0005815, GO:0005819, GO:0005856, GO:0005876, GO:0005881, GO:0005929, GO:0007049, GO:0007264, GO:0008017, GO:0015031, GO:0016020, GO:0019003, GO:0030496, GO:0032391, GO:0042461, GO:0042995, GO:0051301, GO:0060271
